#,CPU,Type,Performance,Cores / threads,Year,TDP,Brand
1,Intel Xeon 6960P,server,74.09,72 / 144,2024,500 W,Intel
1861,Intel Core i7-2617M,notebook,0.96,2 / 4,2011,512 W,Intel
1862,Intel Core 2 Duo T9300,notebook,0.95,2 / 2,2008,6 W,Intel
1863,Intel Core i3-4010U,notebook,0.94,2 / 4,2013,512 W,Intel
1864,Intel Core i7-720QM,notebook,0.94,4 / 8,2009,45 W,Intel
1865,Intel Core i3-3110M,notebook,0.94,2 / 4,2012,512 W,Intel
1866,Intel Core i3-4030Y,notebook,0.94,2 / 4,2014,512 W,Intel
1867,Intel Core i5-4220Y,notebook,0.94,2 / 4,2014,512 W,Intel
1868,Intel Core i3-4005U,notebook,0.94,2 / 4,2013,512 W,Intel
1869,Intel Xeon E5504,server,0.94,4 / 4,2009,80 W,Intel
1870,Intel Pentium G3220T,desktop,0.93,2 / 2,2013,35 W,Intel
1871,Intel Core M-5Y10,notebook,0.93,2 / 4,2014,512 W,Intel
1872,Intel Core i3-560,desktop,0.93,2 / 4,2010,73 W,Intel
1873,Intel Pentium G2010,desktop,0.93,2 / 2,2013,55 W,Intel
1874,Intel Core i3-550,desktop,0.92,2 / 4,2010,73 W,Intel
1875,Intel Core i5-2557M,notebook,0.92,2 / 4,2011,512 W,Intel
1876,Intel Pentium G2120T,desktop,0.91,2 / 2,2013,35 W,Intel
1877,Intel Celeron G1820T,desktop,0.91,2 / 2,2013,54 W,Intel
1878,Intel Core 2 Quad Q9000,notebook,0.91,4 / 4,2009,6 W,Intel
1879,Intel Pentium G2030T,desktop,0.91,2 / 2,2013,35 W,Intel
1880,Intel Pentium Gold 4415Y,notebook,0.90,2 / 4,2017,512 W,Intel
1881,Intel Core i5-3339Y,notebook,0.90,2 / 4,2013,512 W,Intel
1882,Intel Celeron G1620,desktop,0.90,2 / 2,2012,55 W,Intel
1883,Intel Pentium 4415Y,notebook,0.90,2 / 4,2017,6 W,Intel
1884,Intel Core i5-4302Y,notebook,0.90,2 / 4,2013,512 W,Intel
1885,Intel Celeron G1840T,desktop,0.89,2 / 2,2014,54 W,Intel
1886,Intel Core i3-2120T,desktop,0.89,2 / 4,2011,35 W,Intel
1887,Intel Core i7-2657M,notebook,0.89,2 / 4,2011,512 W,Intel
1888,Intel Celeron 4305U,notebook,0.89,2 / 2,2019,15 W,Intel
1889,Intel Pentium G870,desktop,0.89,2 / 2,2012,65 W,Intel
1890,Intel Celeron G1830,desktop,0.88,2 / 2,2013,54 W,Intel
1891,Intel Core i5-4200Y,notebook,0.88,2 / 4,2013,512 W,Intel
1892,Intel Core i3-540,desktop,0.88,2 / 4,2010,73 W,Intel
1893,Intel Core i5-4202Y,notebook,0.88,2 / 4,2013,512 W,Intel
1894,Intel Celeron G1610,desktop,0.88,2 / 2,2012,55 W,Intel
1895,Intel Xeon E5335,server,0.88,4 / 4,2006,80 W,Intel
1896,Intel Celeron J4005,desktop,0.88,2 / 2,2017,10 W,Intel
1897,Intel Celeron N4020C,notebook,0.87,2 / 2,2021,6 W,Intel
1898,Intel Celeron N4020,notebook,0.87,2 / 2,2019,4 W,Intel
1899,Intel Celeron G1620T,desktop,0.87,2 / 2,2013,35 W,Intel
1900,Intel Core i3-2100T,desktop,0.87,2 / 4,2011,35 W,Intel
1901,Intel Core i5-4210Y,notebook,0.87,2 / 4,2013,512 W,Intel
1902,Intel Core i7-2610UE,desktop,0.87,2 / 4,−,17 W,Intel
1903,Intel Xeon X5270,server,0.86,,2008,80 W,Intel
1904,Intel Core i7-640LM,notebook,0.86,2 / 4,2010,512 W,Intel
1905,Intel Core i3-530,desktop,0.86,2 / 4,2010,73 W,Intel
1906,Intel Celeron 1017U,notebook,0.86,2 / 2,2013,512 W,Intel
1907,Intel Celeron 2970M,notebook,0.85,2 / 2,2014,512 W,Intel
1908,Intel Pentium 4405Y,notebook,0.84,2 / 4,2015,512 W,Intel
1909,Intel Pentium G850,desktop,0.84,2 / 2,2011,65 W,Intel
1910,Intel Core i5-4300Y,notebook,0.84,2 / 4,2013,512 W,Intel
1911,Intel Pentium G860,desktop,0.84,2 / 2,2011,256 W,Intel
1912,Intel Core 2 Duo T8300,notebook,0.83,2 / 2,2008,3 W,Intel
1913,Intel Celeron N4000,notebook,0.83,2 / 2,2017,4 W,Intel
1914,Intel Xeon E7320,server,0.83,,2007,80 W,Intel
1915,Intel Core i7-620LM,notebook,0.83,2 / 4,2010,512 W,Intel
1916,Intel Xeon X5272,server,0.82,,2007,80 W,Intel
1917,Intel Celeron J4025,desktop,0.82,2 / 2,2019,10 W,Intel
1918,Intel Core i3-4020Y,notebook,0.82,2 / 4,2013,512 W,Intel
1919,Intel Pentium G645,desktop,0.82,2 / 2,2012,65 W,Intel
1920,Intel Celeron 3867U,notebook,0.82,2 / 2,2019,512 W,Intel
1921,Intel Celeron 3955U,notebook,0.82,2 / 2,2015,15 W,Intel
1922,Intel Pentium 4410Y,notebook,0.81,2 / 4,2017,6 W,Intel
1923,Intel Pentium G6960,desktop,0.81,2 / 2,2011,73 W,Intel
1924,Intel Celeron 5205U,notebook,0.81,2 / 2,2019,15 W,Intel
1925,Intel Pentium G2020T,desktop,0.81,2 / 2,2013,35 W,Intel
1926,Intel Celeron N4000C,notebook,0.81,2 / 2,2019,6 W,Intel
1927,Intel Celeron G555,desktop,0.81,2 / 2,2012,65 W,Intel
1928,Intel Pentium J3710,desktop,0.81,4 / 4,2016,6.5 W,Intel
1929,Intel Pentium 2020M,notebook,0.80,2 / 2,2012,512 W,Intel
1930,Intel Core i5-2467M,notebook,0.80,2 / 4,2011,512 W,Intel
1931,Intel Xeon E3120,server,0.80,,2008,65 W,Intel
1932,Intel Xeon E3-1220L v3,server,0.80,2 / 4,2013,16 W,Intel
1933,Intel Celeron 1020E,notebook,0.80,2 / 2,2013,512 W,Intel
1934,Intel Pentium 2030M,notebook,0.79,2 / 2,2013,512 W,Intel
1935,Intel Pentium 3825U,notebook,0.79,2 / 4,2015,512 W,Intel
1936,Intel Pentium N3710,notebook,0.79,4 / 4,2016,2 W,Intel
1937,Intel Pentium G6951,desktop,0.78,2 / 2,2010,73 W,Intel
1938,Intel Pentium Silver A1030,notebook,0.78,2 / 2,2020,15 W,Intel
1939,Intel Core 2 Duo E8600,desktop,0.78,2 / 2,2008,65 W,Intel
1940,Intel Core i3-2370M,notebook,0.78,2 / 4,2012,512 W,Intel
1941,Intel Pentium G640,desktop,0.78,2 / 2,2012,65 W,Intel
1942,Intel Pentium G840,desktop,0.78,2 / 2,2011,65 W,Intel
1943,Intel Core i3-3217UE,notebook,0.77,2 / 4,2012,17 W,Intel
1944,Intel Core i3-4010Y,notebook,0.77,2 / 4,2013,512 W,Intel
1945,Intel Pentium G630,desktop,0.77,2 / 2,2011,65 W,Intel
1946,Intel Core i3-2332M,notebook,0.77,2 / 4,2011,35 W,Intel
1947,Intel Celeron 4205U,notebook,0.77,2 / 2,2019,512 W,Intel
1948,Intel Pentium 3560M,notebook,0.76,2 / 2,2014,512 W,Intel
1949,Intel Celeron 3865U,notebook,0.76,2 / 2,2017,512 W,Intel
1950,Intel Xeon L3110,server,0.76,,2009,45 W,Intel
1951,Intel Xeon L5240,server,0.76,,2008,40 W,Intel
1952,Intel Pentium Dual Core T4500,notebook,0.76,2 / 2,2010,35 W,Intel
1953,Intel Celeron G1610T,desktop,0.76,2 / 2,2012,35 W,Intel
1954,Intel Pentium Dual-Core E2220,desktop,0.75,2 / 2,2008,65 W,Intel
1955,Intel Core i5-480M,notebook,0.75,2 / 4,2011,512 W,Intel
1956,Intel Atom x7-Z8700,notebook,0.75,4 / 4,2015,−,Intel
1957,Intel Core i5-460M,notebook,0.75,2 / 4,2010,512 W,Intel
1958,Intel Celeron 5305U,notebook,0.74,2 / 2,2020,15 W,Intel
1959,Intel Pentium 3550M,notebook,0.74,2 / 2,2013,512 W,Intel
1960,Intel Core i3-3227U,notebook,0.74,2 / 4,2013,512 W,Intel
1961,Intel Core 2 Duo E8500,desktop,0.74,2 / 2,2008,65 W,Intel
1962,Intel Xeon E3110,server,0.73,,2008,65 W,Intel
1963,Intel Atom x7-Z8750,notebook,0.73,4 / 4,2016,2 W,Intel
1964,Intel Core i3-390M,notebook,0.73,2 / 4,2011,512 W,Intel
1965,Intel Core i3-2348M,notebook,0.73,2 / 4,2013,512 W,Intel
1966,Intel Pentium Dual Core T4400,notebook,0.73,2 / 2,2009,35 W,Intel
1967,Intel Core i7-660UM,notebook,0.73,2 / 4,2010,512 W,Intel
1968,Intel Core i3-4012Y,notebook,0.72,2 / 4,2013,512 W,Intel
1969,Intel Xeon X5260,server,0.72,,2007,80 W,Intel
1970,Intel Celeron 1020M,notebook,0.72,2 / 2,2013,512 W,Intel
1971,Intel Celeron Dual-Core T3500,notebook,0.72,2 / 2,2010,1 W,Intel
1972,Intel Core i3-2350M,notebook,0.72,2 / 4,2011,512 W,Intel
1973,Intel Celeron G550,desktop,0.72,2 / 2,2012,65 W,Intel
1974,Intel Core i5-450M,notebook,0.72,2 / 4,2010,512 W,Intel
1975,Intel Core i3-330E,notebook,0.71,2 / 4,2010,35 W,Intel
1976,Intel Pentium J2900,notebook,0.71,4 / 4,2013,2 W,Intel
1977,Intel Celeron 3765U,notebook,0.71,2 / 2,2015,512 W,Intel
1978,Intel Pentium G6950,desktop,0.71,2 / 2,2010,73 W,Intel
1979,Intel Celeron J3160,desktop,0.71,4 / 4,2016,6 W,Intel
1980,Intel Core i3-2330M,notebook,0.71,2 / 4,2011,512 W,Intel
1981,Intel Pentium N3700,notebook,0.71,4 / 4,2015,2 W,Intel
1982,Intel Atom x5-Z8500,notebook,0.70,4 / 4,2015,−,Intel
1983,Intel Celeron 2950M,notebook,0.70,2 / 2,2013,512 W,Intel
1984,Intel Pentium G620,desktop,0.70,2 / 2,2011,65 W,Intel
1985,Intel Pentium G645T,desktop,0.70,2 / 2,2012,35 W,Intel
1986,Intel Core i3-2328M,notebook,0.70,2 / 4,2012,512 W,Intel
1987,Intel Pentium Dual Core T4300,notebook,0.70,2 / 2,2009,35 W,Intel
1988,Intel Core i3-3217U,notebook,0.70,2 / 4,2012,512 W,Intel
1989,Intel Core i3-2310M,notebook,0.69,2 / 4,2011,512 W,Intel
1990,Intel Pentium E6700,desktop,0.69,2 / 2,2010,65 W,Intel
1991,Intel Celeron 3855U,notebook,0.69,2 / 2,2015,15 W,Intel
1992,Intel Core i5-430M,notebook,0.69,2 / 4,2010,512 W,Intel
1993,Intel Core i3-380M,notebook,0.69,2 / 4,2010,512 W,Intel
1994,Intel Pentium N3540,notebook,0.68,4 / 4,2014,2 W,Intel
1995,Intel Core 2 Duo T9900,notebook,0.68,2 / 2,2009,35 W,Intel
1996,Intel Celeron J3355,desktop,0.68,2 / 2,2016,2 W,Intel
1997,Intel Celeron N3160,notebook,0.68,4 / 4,2016,2 W,Intel
1998,Intel Celeron 3965Y,notebook,0.68,2 / 2,2017,512 W,Intel
1999,Intel Core i7-680UM,notebook,0.68,2 / 4,2010,512 W,Intel
2000,Intel Pentium 3805U,notebook,0.68,2 / 2,2015,512 W,Intel
2001,Intel Pentium E6600,desktop,0.68,2 / 2,2010,65 W,Intel
2002,Intel Pentium E5800,desktop,0.67,2 / 2,2010,65 W,Intel
2003,Intel Core i3-2312M,notebook,0.67,2 / 4,2011,512 W,Intel
2004,Intel Pentium A1018,notebook,0.67,2 / 2,2013,35 W,Intel
2005,Intel Core 2 Duo T9800,notebook,0.67,2 / 2,2009,6 W,Intel
2006,Intel Celeron 3755U,notebook,0.67,2 / 2,2015,512 W,Intel
2007,Intel Celeron G540,desktop,0.67,2 / 2,2011,65 W,Intel
2008,Intel Core 2 Duo P9700,notebook,0.67,2 / 2,2009,28 W,Intel
2009,Intel Celeron N3150,notebook,0.67,4 / 4,2015,2 W,Intel
2010,Intel Pentium E6500,desktop,0.67,2 / 2,2009,65 W,Intel
2011,Intel Celeron Dual-Core T3100,notebook,0.67,2 / 2,2009,1 W,Intel
2012,Intel Core i3-370M,notebook,0.66,2 / 4,2010,512 W,Intel
2013,Intel Core i7-640UM,notebook,0.66,2 / 4,2010,512 W,Intel
2014,Intel Pentium A1020,notebook,0.66,4 / 4,2016,10 W,Intel
2015,Intel Core 2 Duo E8400,desktop,0.66,2 / 2,2008,65 W,Intel
2016,Intel Xeon W3505,server,0.66,2 / 2,2009,130 W,Intel
2017,Intel Pentium N3530,notebook,0.66,4 / 4,2014,2 W,Intel
2018,Intel Core 2 Duo E6850,desktop,0.66,2 / 2,−,4 W,Intel
2019,Intel Core 2 Duo E7500,desktop,0.66,2 / 2,2009,65 W,Intel
2020,Intel Pentium E6800,desktop,0.65,2 / 2,2010,65 W,Intel
2021,Intel Celeron J1900,notebook,0.65,4 / 4,2013,2 W,Intel
2022,Intel Core 2 Duo E7600,desktop,0.65,2 / 2,2009,65 W,Intel
2023,Intel Pentium Dual Core T4200,notebook,0.65,2 / 2,2009,35 W,Intel
2024,Intel Pentium 977,notebook,0.65,2 / 2,2012,512 W,Intel
2025,Intel Celeron G530,desktop,0.65,2 / 2,2011,65 W,Intel
2026,Intel Pentium N3520,notebook,0.65,4 / 4,2013,2 W,Intel
2027,Intel Core i5-2537M,notebook,0.65,2 / 4,2011,512 W,Intel
2028,Intel Core 2 Duo E8200,desktop,0.65,2 / 2,2008,65 W,Intel
2029,Intel Atom x5-Z8550,notebook,0.65,4 / 4,2016,−,Intel
2030,Intel Pentium G640T,desktop,0.65,2 / 2,2012,35 W,Intel
2031,Intel Core 2 Duo SP9600,notebook,0.65,2 / 2,2009,6 W,Intel
2032,Intel Core 2 Extreme X7800,notebook,0.65,2 / 2,2007,4 W,Intel
2033,Intel Celeron G540T,desktop,0.64,2 / 2,2011,35 W,Intel
2034,Intel Xeon W3503,server,0.64,2 / 2,2009,130 W,Intel
2035,Intel Core 2 Extreme X6800,desktop,0.63,2 / 2,2006,75 W,Intel
2036,Intel Celeron 1005M,notebook,0.63,2 / 2,2013,512 W,Intel
2037,Intel Core 2 Extreme X7900,notebook,0.63,2 / 2,2007,4 W,Intel
2038,Intel Celeron N3350,notebook,0.63,2 / 2,2016,2 W,Intel
2039,Intel Core 2 Extreme X9000,notebook,0.63,2 / 2,2008,6 W,Intel
2040,Intel Core 2 Duo E8435,notebook,0.63,2 / 2,2009,44 W,Intel
2041,Intel Xeon L3406,server,0.63,,2010,30 W,Intel
2042,Intel Pentium B980,notebook,0.62,2 / 2,2012,512 W,Intel
2043,Intel Pentium B970,notebook,0.62,2 / 2,2012,512 W,Intel
2044,Intel Core 2 Duo E8335,notebook,0.62,2 / 2,2009,44 W,Intel
2045,Intel Pentium E5700,desktop,0.62,2 / 2,2010,65 W,Intel
2046,Intel Core 2 Duo P9600,notebook,0.62,2 / 2,2009,6 W,Intel
2047,Intel Celeron 2980U,notebook,0.62,2 / 2,2013,512 W,Intel
2048,Intel Core i7-620UM,notebook,0.62,2 / 4,2010,512 W,Intel
2049,Intel Celeron 3215U,notebook,0.62,2 / 2,2015,512 W,Intel
2050,Intel Core i3-350M,notebook,0.62,2 / 4,2010,512 W,Intel
2051,Intel Core 2 Duo T9600,notebook,0.62,2 / 2,2008,6 W,Intel
2052,Intel Celeron G1101,desktop,0.62,2 / 2,2010,73 W,Intel
2053,Intel Pentium 2127U,notebook,0.61,2 / 2,2013,512 W,Intel
2054,Intel Celeron G550T,desktop,0.61,2 / 2,2011,35 W,Intel
2055,Intel Pentium 3556U,notebook,0.61,2 / 2,2013,512 W,Intel
2056,Intel Atom E3845,notebook,0.61,4 / 4,2013,10 W,Intel
2057,Intel Celeron 1000M,notebook,0.61,2 / 2,2013,512 W,Intel
2058,Intel Pentium E5500,desktop,0.60,2 / 2,2010,65 W,Intel
2059,Intel Celeron Dual-Core T1700,notebook,0.60,2 / 2,2008,1 W,Intel
2060,Intel Celeron T1700,notebook,0.60,,2008,35 W,Intel
2061,Intel Celeron G530T,desktop,0.60,2 / 2,2011,35 W,Intel
2062,Intel Celeron N2940,notebook,0.60,4 / 4,2014,7 W,Intel
2063,Intel Core 2 Duo E7400,desktop,0.59,2 / 2,2008,65 W,Intel
2064,Intel Pentium 3558U,notebook,0.59,2 / 2,2014,512 W,Intel
2065,Intel Core 2 Duo E8300,desktop,0.59,2 / 2,2008,65 W,Intel
2066,Intel Celeron 2981U,notebook,0.59,2 / 2,2014,512 W,Intel
2067,Intel Celeron N2930,notebook,0.59,4 / 4,2014,7 W,Intel
2068,Intel Core i3-330M,notebook,0.59,2 / 4,2010,512 W,Intel
2069,Intel Celeron 1037U,notebook,0.59,2 / 2,2013,512 W,Intel
2070,Intel Pentium G630T,desktop,0.59,2 / 2,2011,35 W,Intel
2071,Intel Pentium E6300,desktop,0.59,2 / 2,2009,65 W,Intel
2072,Intel Core 2 Duo E6750,desktop,0.58,2 / 2,2007,65 W,Intel
2073,Intel Atom C3338,server,0.58,2 / 2,2017,9 W,Intel
2074,Intel Pentium B950,notebook,0.58,2 / 2,2011,512 W,Intel
2075,Intel Core 2 Duo E8135,notebook,0.58,2 / 2,2009,44 W,Intel
2076,Intel Core 2 Duo E8235,notebook,0.58,2 / 2,2009,44 W,Intel
2077,Intel Celeron G1820TE,desktop,0.58,2 / 2,2013,54 W,Intel
2078,Intel Pentium B960,notebook,0.58,2 / 2,2011,512 W,Intel
2079,Intel Pentium J2850,notebook,0.58,4 / 4,2013,2 W,Intel
2080,Intel Core i5-560UM,notebook,0.58,2 / 4,2010,512 W,Intel
2081,Intel Core i3-3229Y,notebook,0.58,2 / 4,2013,512 W,Intel
2082,Intel Core 2 Duo E4700,desktop,0.57,2 / 2,2008,65 W,Intel
2083,Intel Pentium 2117U,notebook,0.57,2 / 2,2012,512 W,Intel
2084,Intel Pentium E5400,desktop,0.57,2 / 2,2009,65 W,Intel
2085,Intel Core 2 Duo T9400,notebook,0.57,2 / 2,2008,6 W,Intel
2086,Intel Core i5-540UM,notebook,0.57,2 / 4,2010,512 W,Intel
2087,Intel Core 2 Duo E7200,desktop,0.57,2 / 2,2008,65 W,Intel
2088,Intel Core 2 Duo P9500,notebook,0.56,2 / 2,2008,6 W,Intel
2089,Intel Pentium Extreme Edition 965,desktop,0.56,2 / 4,2006,130 W,Intel
2090,Intel Core 2 Duo E7300,desktop,0.56,2 / 2,2008,65 W,Intel
2091,Intel Celeron M P4500,notebook,0.56,2 / 2,2010,512 W,Intel
2092,Intel Core i3-2340UE,notebook,0.55,2 / 4,2011,17 W,Intel
2093,Intel Core 2 Duo E6700,desktop,0.55,2 / 2,−,4 W,Intel
2094,Intel Celeron B840,notebook,0.55,2 / 2,2011,0 W,Intel
2095,Intel Core 2 Duo SP9300,notebook,0.55,2 / 2,2008,6 W,Intel
2096,Intel Atom x5-E8000,notebook,0.55,4 / 4,2016,5 W,Intel
2097,Intel Xeon 5160,server,0.55,2 / 2,2006,80 W,Intel
2098,Intel Core 2 Duo P8700,notebook,0.55,2 / 2,2009,3 W,Intel
2099,Intel Celeron 3205U,notebook,0.54,2 / 2,2015,512 W,Intel
2100,Intel Celeron N2920,notebook,0.54,4 / 4,2013,7 W,Intel
2101,Intel Celeron Dual-Core T1600,notebook,0.54,2 / 2,2008,1 W,Intel
2102,Intel Core 2 Duo T7700,notebook,0.54,2 / 2,2007,4 W,Intel
2103,Intel Celeron J1850,notebook,0.53,4 / 4,2013,2 W,Intel
2104,Intel Pentium N3510,notebook,0.53,4 / 4,2013,2 W,Intel
2105,Intel Core 2 Duo P8800,notebook,0.53,2 / 2,2009,3 W,Intel
2106,Intel Pentium E5200,desktop,0.53,2 / 2,2008,65 W,Intel
2107,Intel Celeron E3500,desktop,0.53,2 / 2,2010,65 W,Intel
2108,Intel Pentium P6200,notebook,0.53,2 / 2,2010,512 W,Intel
2109,Intel Pentium E5300,desktop,0.53,2 / 2,2008,65 W,Intel
2110,Intel Core 2 Duo E6600,desktop,0.52,2 / 2,−,4 W,Intel
2111,Intel Pentium P6300,notebook,0.52,2 / 2,2011,512 W,Intel
2112,Intel Xeon 5148,server,0.52,2 / 2,2006,40 W,Intel
2113,Intel Core 2 Duo E6550,desktop,0.52,2 / 2,2007,65 W,Intel
2114,Intel Celeron 2955U,notebook,0.52,2 / 2,2013,512 W,Intel
2115,Intel Core 2 Duo T7800,notebook,0.52,2 / 2,2007,4 W,Intel
2116,Intel Core i5-520UM,notebook,0.51,2 / 4,2010,512 W,Intel
2117,Intel Celeron M P4600,notebook,0.51,2 / 2,2010,512 W,Intel
2118,Intel Celeron E3200,desktop,0.51,2 / 2,2009,65 W,Intel
2119,Intel Celeron E3400,desktop,0.51,2 / 2,2010,65 W,Intel
2120,Intel Core i3-2375M,notebook,0.51,2 / 4,2013,512 W,Intel
2121,Intel Pentium G620T,desktop,0.51,2 / 2,2011,35 W,Intel
2122,Intel Atom x5-Z8350,notebook,0.51,4 / 4,2016,−,Intel
2123,Intel Core 2 Duo SP9400,notebook,0.50,2 / 2,2008,6 W,Intel
2124,Intel Pentium 3560Y,notebook,0.50,2 / 2,2013,512 W,Intel
2125,Intel Pentium P6100,notebook,0.50,2 / 2,2010,512 W,Intel
2126,Intel Xeon 5150,server,0.50,2 / 2,2006,65 W,Intel
2127,Intel Celeron P4600,notebook,0.50,2 / 2,2010,35 W,Intel
2128,Intel Pentium B940,notebook,0.50,2 / 2,2011,512 W,Intel
2129,Intel Core i3-2377M,notebook,0.50,2 / 4,2012,512 W,Intel
2130,Intel Celeron B830,notebook,0.50,2 / 2,2012,0 W,Intel
2131,Intel Core 2 Duo P7570,notebook,0.49,2 / 2,2009,3 W,Intel
2132,Intel Xeon 3065,server,0.49,,2007,65 W,Intel
2133,Intel Atom x5-E3930,notebook,0.49,2 / 2,2014,7 W,Intel
2134,Intel Core 2 Duo P8400,notebook,0.49,2 / 2,2008,3 W,Intel
2135,Intel Core i3-2367M,notebook,0.49,2 / 4,2011,512 W,Intel
2136,Intel Core 2 Duo P8600,notebook,0.49,2 / 2,2008,3 W,Intel
2137,Intel Xeon 5140,server,0.49,2 / 2,2006,65 W,Intel
2138,Intel Pentium E2220,desktop,0.48,,2008,65 W,Intel
2139,Intel Celeron 2957U,notebook,0.48,2 / 2,2014,512 W,Intel
2140,Intel Celeron P4500,notebook,0.48,2 / 2,2010,35 W,Intel
2141,Intel Celeron E3300,desktop,0.48,2 / 2,2009,65 W,Intel
2142,Intel Atom x5-Z8300,notebook,0.48,4 / 4,2015,−,Intel
2143,Intel Celeron 1007U,notebook,0.48,2 / 2,2013,512 W,Intel
2144,Intel Core 2 Duo T6670,notebook,0.48,2 / 2,2009,2 W,Intel
2145,Intel Celeron E1600,desktop,0.48,2 / 2,2009,65 W,Intel
2146,Intel Xeon E5205,server,0.48,,2007,65 W,Intel
2147,Intel Xeon E5502,server,0.47,2 / 2,2009,80 W,Intel
2148,Intel Pentium P6000,notebook,0.47,2 / 2,2010,512 W,Intel
2149,Intel Core 2 Duo T7500,notebook,0.47,2 / 2,2007,4 W,Intel
2150,Intel Core i3-2365M,notebook,0.47,2 / 4,2011,512 W,Intel
2151,Intel Pentium D 960,desktop,0.47,2 / 2,2006,130 W,Intel
2152,Intel Core 2 Duo P7550,notebook,0.46,2 / 2,2009,3 W,Intel
2153,Intel Celeron B820,notebook,0.46,2 / 2,2012,512 W,Intel
2154,Intel Celeron B720,notebook,0.46,1 / 1,2012,0 W,Intel
2155,Intel Pentium 997,notebook,0.46,2 / 2,2012,512 W,Intel
2156,Intel Core 2 Duo T6600,notebook,0.46,2 / 2,2009,2 W,Intel
2157,Intel Core 2 Duo E6540,desktop,0.46,2 /,2007,65 W,Intel
2158,Intel Core 2 Duo P7450,notebook,0.46,2 / 2,2009,3 W,Intel
2159,Intel Xeon E5503,server,0.46,2 / 2,2010,80 W,Intel
2160,Intel Core 2 Duo T7600,notebook,0.45,2 / 2,2006,4 W,Intel
2161,Intel Atom x5-Z8330,notebook,0.45,4 / 4,2016,−,Intel
2162,Intel Xeon 5130,server,0.45,2 / 2,2006,65 W,Intel
2163,Intel Core 2 Duo P7370,notebook,0.45,2 / 2,2009,3 W,Intel
2164,Intel Core 2 Duo T8100,notebook,0.45,2 / 2,2008,3 W,Intel
2165,Intel Celeron N2910,notebook,0.45,4 / 4,2013,7 W,Intel
2166,Intel Core i3-2357M,notebook,0.45,2 / 4,2011,512 W,Intel
2167,Intel Pentium T4400,notebook,0.45,,2009,35 W,Intel
2168,Intel Core 2 Duo E4600,desktop,0.45,2 / 2,2007,65 W,Intel
2169,Intel Core 2 Duo E6420,desktop,0.44,2 / 2,2007,65 W,Intel
2170,Intel Core i5-470UM,notebook,0.44,2 / 4,2010,512 W,Intel
2171,Intel Core 2 Duo SL9600,notebook,0.44,2 / 2,2009,6 W,Intel
2172,Intel Celeron B810,notebook,0.44,2 / 2,2011,0 W,Intel
2173,Intel Core 2 Duo T6570,notebook,0.44,2 / 2,2009,2 W,Intel
2174,Intel Core 2 Duo E6400,desktop,0.44,2 / 2,2006,65 W,Intel
2175,Intel Atom Z3735G,notebook,0.44,4 / 4,2014,2 W,Intel
2176,Intel Core 2 Duo T7400,notebook,0.43,2 / 2,2006,4 W,Intel
2177,Intel Celeron 887,notebook,0.43,2 / 2,2012,512 W,Intel
2178,Intel Celeron T3500,notebook,0.43,,2010,35 W,Intel
2179,Intel Xeon 5120,server,0.43,2 / 2,2006,65 W,Intel
2180,Intel Celeron B815,notebook,0.43,2 / 2,2012,0 W,Intel
2181,Intel Core 2 Duo SL9400,notebook,0.43,2 / 2,2008,6 W,Intel
2182,Intel Core 2 Duo T6500,notebook,0.43,2 / 2,2009,2 W,Intel
2183,Intel Celeron 1047UE,notebook,0.42,2 / 2,2013,512 W,Intel
2184,Intel Core i3-380UM,notebook,0.42,2 / 4,2010,512 W,Intel
2185,Intel Core 2 Duo E4500,desktop,0.42,2 / 2,2007,65 W,Intel
2186,Intel Core 2 Duo T7200,notebook,0.42,2 / 2,2006,4 W,Intel
2187,Intel Pentium E2200,desktop,0.42,,2007,65 W,Intel
2188,Intel Pentium Dual-Core E2200,desktop,0.42,2 / 2,2007,65 W,Intel
2189,Intel Celeron E1400,desktop,0.42,2 / 2,2008,65 W,Intel
2190,Intel Core 2 Duo T6400,notebook,0.42,2 / 2,2009,2 W,Intel
2191,Intel Core 2 Duo E4400,desktop,0.42,2 / 2,2007,65 W,Intel
2192,Intel Atom Z3770,notebook,0.41,4 / 4,2013,8 W,Intel
2193,Intel Pentium T4200,notebook,0.41,,2009,35 W,Intel
2194,Intel Core 2 Duo P7350,notebook,0.41,2 / 2,2008,3 W,Intel
2195,Intel Core 2 Duo E6320,desktop,0.41,2 / 2,2007,65 W,Intel
2196,Intel Core 2 Duo T5850,notebook,0.41,2 / 2,2008,2 W,Intel
2197,Intel Core 2 Duo T5870,notebook,0.40,2 / 2,2008,2 W,Intel
2198,Intel Pentium D 950,desktop,0.40,2 / 2,2006,130 W,Intel
2199,Intel Core 2 Duo T7300,notebook,0.40,2 / 2,2007,4 W,Intel
2200,Intel Pentium E2210,desktop,0.40,,2009,65 W,Intel
2201,Intel Pentium Dual-Core E2210,desktop,0.40,2 / 2,2009,65 W,Intel
2202,Intel Core 2 Duo T5750,notebook,0.40,2 / 2,2008,2 W,Intel
2203,Intel Core 2 Duo T7250,notebook,0.40,2 / 2,2007,2 W,Intel
2204,Intel Pentium 987,notebook,0.40,2 / 2,2013,512 W,Intel
2205,Intel Celeron Dual-Core T1400,notebook,0.39,2 / 2,2008,512 W,Intel
2206,Intel Celeron P4505,notebook,0.39,2 / 2,2010,35 W,Intel
2207,Intel Celeron B800,notebook,0.39,2 / 2,2011,512 W,Intel
2208,Intel Pentium Dual-Core E2180,desktop,0.39,2 / 2,2007,65 W,Intel
